Professor,Rating,Would Take Again (%),Difficulty,Department
Elhadi Shakshuki,1.8,0,3.1,Computer Science
Ashley Parsons,3.4,58,2.9,Chemistry
Matthew Orr,2.3,34,4.0,Psychology
Anna Wilks,3.2,57,3.3,Philosophy
David McMullin,3.8,93,2.6,Geology
Sandra Barr,4.3,70,3.1,Geology
Janna Wentzell,1.8,19,3.6,Health Science
Shobhit Wadhwa,2.8,47,3.1,Business
Gopi Sharma,1.6,12,3.9,Business
Richard Martell,4.4,86,2.6,Languages
Laura Robinson,5.0,100,3.5,English
Michael Robertson,4.5,100,3.6,Physics
Jennie Rand,4.1,100,2.5,Engineering
Wasundara Fernando,2.8,60,4.2,Biology
Andrew Davis,3.8,69,3.5,Economics
Caroline Cochran,4.1,77,3.1,Mathematics
Kendra Carmichael,2.0,12,4.4,Communication
Lance Larocque,4.8,100,2.4,English
Paul Abela,3.4,46,3.6,Philosophy
Ian Wilks,4.2,87,3.0,Philosophy
Andrew Mitchell,3.6,34,3.1,Engineering
Jennifer MacDonald,3.9,75,3.9,History
Johannes Wheeldon,5.0,100,3.0,Political Science
Natalie Dempsey,5.0,100,3.0,Education
Michelle Damour,3.4,57,4.0,English
Laurie Dalton,3.9,78,3.2,History
Acacia Puddester,2.5,34,3.2,Science
Wanda Campbell,4.1,93,3.0,English
Eva Curry,1.9,10,4.1,Mathematics
Lisa Narbeshuber,4.0,86,2.9,English
Jon Saklofske,3.7,72,3.3,English
Mariah Cooper,2.8,45,4.1,Political Science
Jesse Carlson,1.7,15,4.2,Sociology
Kait Pinder,4.3,73,3.6,English
Rabindra Chaulagain,3.3,67,3.0,Sociology
Amanda Peters,1.7,17,3.8,English
Andrew Biro,4.2,70,3.2,Political Science
Elisabeth Rondenelli,2.0,25,4.0,Sociology
Russell Easy,3.5,67,3.5,Biology
Cynthia Alexander,1.8,18,3.9,Political Science
Judith Leidl,4.8,100,3.7,Fine Arts
Chaiti Seth,1.5,0,3.5,Humanities
Edith Callaghan,3.7,90,3.8,Business
Igor Semenenko,2.0,20,4.4,Finance
Joseph Hayes,2.2,22,4.1,Psychology
